month,day,hour,trip_count
1,1,0,602
1,1,1,505
1,1,2,431
1,1,3,34
1,1,4,0
1,1,5,3
1,1,6,324
1,1,7,763
1,1,8,1272
1,1,9,1586
1,1,10,1943
1,1,11,2165
1,1,12,2528
1,1,13,2823
1,1,14,2942
1,1,15,2763
1,1,16,2777
1,1,17,2904
1,1,18,2527
1,1,19,1859
1,1,20,1362
1,1,21,1168
1,1,22,871
1,1,23,595
1,2,0,379
1,2,1,77
1,2,2,1
1,2,3,1
1,2,4,0
1,2,5,1
1,2,6,2
1,2,7,226
1,2,8,1457
1,2,9,1939
1,2,10,2249
1,2,11,2669
1,2,12,2810
1,2,13,2868
1,2,14,3088
1,2,15,2665
1,2,16,2913
1,2,17,3170
1,2,18,2956
1,2,19,2178
1,2,20,1451
1,2,21,1136
1,2,22,492
1,2,23,14
1,3,0,1
1,3,1,2
1,3,2,0
1,3,3,0
1,3,4,16
1,3,5,1207
1,3,6,3729
1,3,7,6481
1,3,8,6925
1,3,9,4570
1,3,10,3562
1,3,11,3509
1,3,12,3391
1,3,13,3736
1,3,14,4299
1,3,15,5502
1,3,16,6989
1,3,17,8586
1,3,18,5901
1,3,19,3186
1,3,20,1777
1,3,21,1239
1,3,22,1321
1,3,23,1108
1,4,0,398
1,4,1,85
1,4,2,19
1,4,3,0
1,4,4,4
1,4,5,1200
1,4,6,4167
1,4,7,7497
1,4,8,8204
1,4,9,5275
1,4,10,3439
1,4,11,3083
1,4,12,3125
1,4,13,3501
1,4,14,4199
1,4,15,5550
1,4,16,7618
1,4,17,9437
1,4,18,7047
1,4,19,3620
1,4,20,1957
1,4,21,1396
1,4,22,1129
1,4,23,798
1,5,0,371
1,5,1,97
1,5,2,5
1,5,3,0
1,5,4,11
1,5,5,1491
1,5,6,4279
1,5,7,7784
1,5,8,8315
1,5,9,5232
1,5,10,3513
1,5,11,3303
1,5,12,3504
1,5,13,3703
1,5,14,4562
1,5,15,6008
1,5,16,7808
1,5,17,9524
1,5,18,6500
1,5,19,3931
1,5,20,2055
1,5,21,1550
1,5,22,1126
1,5,23,755
1,6,0,374
1,6,1,69
1,6,2,3
1,6,3,0
1,6,4,13
1,6,5,1345
1,6,6,4368
1,6,7,7306
1,6,8,8566
1,6,9,4626
1,6,10,3963
1,6,11,3305
1,6,12,3203
1,6,13,3684
1,6,14,4415
1,6,15,5743
1,6,16,7874
1,6,17,9693
1,6,18,6706
1,6,19,3608
1,6,20,2225
1,6,21,1366
1,6,22,1202
1,6,23,969
1,7,0,398
1,7,1,97
1,7,2,11
1,7,3,1
1,7,4,20
