month,weekday,hour,avg_trip_count
1,0,0,1
1,0,1,2
1,0,2,1
1,0,3,1
1,0,4,10
1,0,5,1092
1,0,6,3549
1,0,7,6642
1,0,8,7034
1,0,9,4807
1,0,10,3445
1,0,11,3205
1,0,12,3245
1,0,13,3484
1,0,14,4140
1,0,15,5313
1,0,16,6916
1,0,17,8052
1,0,18,6282
1,0,19,3485
1,0,20,1855
1,0,21,1337
1,0,22,1092
1,0,23,780
1,1,0,347
1,1,1,82
1,1,2,9
1,1,3,4
1,1,4,12
1,1,5,1464
1,1,6,4471
1,1,7,8131
1,1,8,8759
1,1,9,5372
1,1,10,3527
1,1,11,3146
1,1,12,3134
1,1,13,3415
1,1,14,4248
1,1,15,5747
1,1,16,8058
1,1,17,10026
1,1,18,7380
1,1,19,3738
1,1,20,2044
1,1,21,1445
1,1,22,1418
1,1,23,918
1,2,0,384
1,2,1,88
1,2,2,4
1,2,3,1
1,2,4,10
1,2,5,1528
1,2,6,4507
1,2,7,8152
1,2,8,8792
1,2,9,5364
1,2,10,3598
1,2,11,3321
1,2,12,3362
1,2,13,3614
1,2,14,4368
1,2,15,5959
1,2,16,8196
1,2,17,10003
1,2,18,7245
1,2,19,3799
1,2,20,2113
1,2,21,1528
1,2,22,1214
1,2,23,823
1,3,0,398
1,3,1,84
1,3,2,4
1,3,3,3
1,3,4,13
1,3,5,1471
1,3,6,4534
1,3,7,8012
1,3,8,8850
1,3,9,5174
1,3,10,4006
1,3,11,3267
1,3,12,3270
1,3,13,3638
1,3,14,4421
1,3,15,6018
1,3,16,8138
1,3,17,10121
1,3,18,7446
1,3,19,3928
1,3,20,2305
1,3,21,1594
1,3,22,1512
1,3,23,1167
1,4,0,448
1,4,1,95
1,4,2,5
1,4,3,2
1,4,4,12
1,4,5,1368
1,4,6,4131
1,4,7,7247
1,4,8,7696
1,4,9,5004
1,4,10,3661
1,4,11,3491
1,4,12,3550
1,4,13,3840
1,4,14,4753
1,4,15,5892
1,4,16,7818
1,4,17,9604
1,4,18,7363
1,4,19,4170
1,4,20,2409
1,4,21,1823
1,4,22,1609
1,4,23,1208
1,5,0,665
1,5,1,215
1,5,2,100
1,5,3,18
1,5,4,4
1,5,5,9
1,5,6,618
1,5,7,1398
1,5,8,2210
1,5,9,2586
1,5,10,2958
1,5,11,3329
1,5,12,3628
1,5,13,3750
1,5,14,3911
1,5,15,4019
1,5,16,4182
1,5,17,4220
1,5,18,3832
1,5,19,2715
1,5,20,1826
1,5,21,1743
1,5,22,1634
1,5,23,1115
1,6,0,513
1,6,1,124
1,6,2,2
1,6,3,1
1,6,4,0
1,6,5,1
1,6,6,6
1,6,7,249
1,6,8,1556
1,6,9,1945
1,6,10,2350
1,6,11,2694
1,6,12,2928
1,6,13,2907
1,6,14,3069
1,6,15,3035
1,6,16,3054
1,6,17,3201
1,6,18,2991
1,6,19,2273
1,6,20,1671
1,6,21,1398
1,6,22,590
1,6,23,31
2,0,0,208
2,0,1,34
2,0,2,2
2,0,3,2
2,0,4,17
2,0,5,1063
2,0,6,3736
2,0,7,7578
2,0,8,8998
2,0,9,6016
2,0,10,4275
2,0,11,3842
2,0,12,3879
2,0,13,4053
2,0,14,4740
2,0,15,6146
2,0,16,8109
2,0,17,9760
2,0,18,7908
2,0,19,4288
2,0,20,2297
2,0,21,1544
2,0,22,1242
2,0,23,857
2,1,0,446
2,1,1,80
2,1,2,6
2,1,3,1
2,1,4,12
2,1,5,1621
2,1,6,5028
2,1,7,9591
2,1,8,11050
2,1,9,6901
2,1,10,4532
2,1,11,3733
2,1,12,3819
2,1,13,4085
2,1,14,4784
2,1,15,6705
2,1,16,9240
2,1,17,12005
2,1,18,9238
2,1,19,4862
2,1,20,2538
2,1,21,1765
2,1,22,1392
2,1,23,1018
2,2,0,458
2,2,1,112
2,2,2,9
2,2,3,12
2,2,4,8
2,2,5,1649
2,2,6,5046
2,2,7,9652
2,2,8,11420
2,2,9,7157
2,2,10,4568
2,2,11,3775
2,2,12,4073
2,2,13,4426
2,2,14,5116
2,2,15,7109
2,2,16,9438
2,2,17,12408
2,2,18,9395
2,2,19,5088
2,2,20,2713
2,2,21,1928
2,2,22,1644
2,2,23,1289
2,3,0,527
2,3,1,103
2,3,2,7
2,3,3,1
2,3,4,13
2,3,5,1630
2,3,6,5054
2,3,7,9670
2,3,8,11248
2,3,9,7198
