weekday,Hour,Trip Count,time_index
0,0,27689,0
0,1,5695,1
0,2,439,2
0,3,111,3
0,4,1017,4
0,5,74962,5
0,6,250960,6
0,7,495334,7
0,8,613364,8
0,9,418034,9
0,10,281450,10
0,11,249059,11
0,12,242565,12
0,13,255969,13
0,14,294974,14
0,15,382406,15
0,16,525149,16
0,17,680197,17
0,18,521520,18
0,19,282629,19
0,20,165256,20
0,21,115349,21
0,22,104118,22
0,23,74937,23
1,0,32721,24
1,1,7219,25
1,2,562,26
1,3,61,27
1,4,1121,28
1,5,95173,29
1,6,311272,30
1,7,627417,31
1,8,805277,32
1,9,537304,33
1,10,308983,34
1,11,250593,35
1,12,246295,36
1,13,260624,37
1,14,307119,38
1,15,419854,39
1,16,621989,40
1,17,863117,41
1,18,670275,42
1,19,350677,43
1,20,198608,44
1,21,131283,45
1,22,129674,46
1,23,95273,47
2,0,40287,48
2,1,8244,49
2,2,746,50
2,3,150,51
2,4,1049,52
2,5,95344,53
2,6,313847,54
2,7,626160,55
2,8,795722,56
2,9,533360,57
2,10,322448,58
2,11,276184,59
2,12,276108,60
2,13,276446,61
2,14,325839,62
2,15,441075,63
2,16,642554,64
2,17,868518,65
2,18,663953,66
2,19,362672,67
2,20,207818,68
2,21,139647,69
2,22,128291,70
2,23,95279,71
3,0,44644,72
3,1,10553,73
3,2,1021,74
3,3,71,75
3,4,976,76
3,5,89208,77
3,6,296540,78
3,7,587227,79
3,8,764578,80
3,9,515439,81
3,10,319205,82
3,11,266337,83
3,12,264078,84
3,13,274762,85
3,14,320872,86
3,15,429561,87
3,16,617561,88
3,17,834902,89
3,18,655781,90
3,19,369646,91
3,20,216492,92
3,21,147529,93
3,22,139796,94
3,23,108942,95
4,0,48968,96
4,1,9563,97
4,2,707,98
4,3,82,99
4,4,992,100
4,5,81233,101
4,6,255480,102
4,7,466480,103
4,8,552481,104
4,9,388507,105
4,10,294706,106
4,11,272287,107
4,12,274796,108
4,13,295579,109
4,14,343909,110
4,15,427094,111
4,16,559838,112
4,17,685916,113
4,18,583273,114
4,19,360735,115
4,20,217174,116
4,21,152725,117
4,22,152613,118
4,23,141801,119
5,0,83724,120
5,1,18502,121
5,2,1811,122
5,3,72,123
5,4,39,124
5,5,1113,125
5,6,44105,126
5,7,113849,127
5,8,167867,128
5,9,206528,129
5,10,241358,130
5,11,289144,131
5,12,306839,132
5,13,301119,133
5,14,305424,134
5,15,310554,135
5,16,338305,136
5,17,355036,137
5,18,320753,138
5,19,256702,139
5,20,185793,140
5,21,157665,141
5,22,140258,142
5,23,115134,143
6,0,63622,144
6,1,15313,145
6,2,1013,146
6,3,44,147
6,4,21,148
6,5,62,149
6,6,400,150
6,7,19407,151
6,8,119907,152
6,9,155614,153
6,10,195924,154
6,11,232854,155
6,12,256906,156
6,13,245278,157
6,14,237115,158
6,15,232600,159
6,16,250776,160
6,17,269994,161
6,18,239955,162
6,19,182621,163
6,20,134464,164
6,21,107381,165
6,22,83638,166
6,23,60069,167
